"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 06 22:12:56 CST 2023","Tue Jun 06 22:13:01 CST 2023","5156","testcase","test_case","TestCase","","","test_new_sample",""
"passed","Tue Jun 06 22:12:54 CST 2023","Tue Jun 06 22:12:56 CST 2023","2002","testcase","test_case","TestCase","","","登陆成功",""
